#,3
##senate,3
#1a,2
#1linewed,1
#1u,1
#2016abdbaimi,1
#2016election.,1
#2016trumptower,1
#2018:,1
#2020,1
#22mar,1
#2a,18
#2a,3
#2adefenders,5
#2am,6
#2ashallnotbeinfringed,5
#2ndamendment,3
#2ndamendmentrights,5
#322,1
#36garhia,1
#4!,1
#44,10
#45,14
#45president,3
#4abr,1
#abc,6
#abd,8
#aborto,1
#actor,1
#adele,1
#adelehello,1
#adolfhitler,1
#afghanistan,1
#africanpolitics,1
#against,1
"#aggregateiq,",1
#aidandcomfort,2
#ajstream,13
#akcie,1
#alexaaskhdfcergo,1
#alexvanderzwaan,2
#algeria,1
#aliciamachado,7
#all,3
#allthattrumpwinningmyass,3
#alqaeda,1
#alsaud,1
#alternativemedia,1
#altnationalparkservice,1
#altnews,2
#altright,1
#alu,1
#alzheimers,1
#amazing,473
#amazing!,1
#amazon,16
"#amazon,",1
#amazon.,1
#amazonprime,1
#amazonprime,1
#amazontrump,1
#ambulancechasers,1
#america,45
#america's,2
"#america,",3
#america:,1
#americaf,2
#americafirst,60
#american,9
#americandreamers,2
#americanelection,1
#americanidiot,1
#americanidol,2
#americanpatriots4trump-browardcounty,8
#americans,3
#amerika,2
#amf,1
#amjoy,2
#amlo,1
#amloenmilenio,1
#amlopresidente,2
#andrewmccabe,3
#androidgames,2
"#anger,",1
#animeright,1
#anna,3
#annalo,34
#annalove,3
#annaloves,8
#annalovestrum,9
#annalovestrump,13
#annexation,1
#anonfamily,2
#anonfamily,2
#anti-nrabias,1
#anti_semitiam,1
#antichrist,1
#antiintellectualism,1
#antitrumpres,1
#ap,3
#apartheid,1
#apartheidisrael,1
#apology.,1
#appgames,1
#apple,1
#approvalratings,1
#apps,2
#aranceles,1
#are,2
#areas,1
#argentina.,1
#arme&amp;footegeddon,1
#armyoftrump,3
#art,20
#art!,1
#art,3
#arte,1
#artfortrump,10
#artikel,1
#artist,1
#artists.,1
#artsy,2
#asaman,3
#asamanece,3
#asianmarkets,1
#ass,8
#assad,1
#asshole,6
#assholetrump,1
#associatedpress,1
#astrology,1
#attacks,1
#aus,1
#austin,21
"#austin,",1
#austinbomber.,3
#austinbombin,1
#austinbombing,1
#austinbombings,3
#austinbombs,2
#australia,1
#awesome!,95
#awkward,1
#b,2
#baby,5
#baby,1
#backthebl,2
"#baddecisions,",1
#baltic,6
#baltic,5
#balticsummit,4
#bananarepublic,1
#banderazo,1
#bankfraud,1
#bankruptcy,1
#bannon,1
#barackobama,6
#barackobama...,1
#baring,1
#bastard's,2
#bbc,6
#bbcbreakingnews,1
#bbcos,1
#bbctw,1
#bdswiss,2
#bear,1
#bears,2
#beat,2
#beaten,1
#beauty!,473
#beijing,2
"#beleave,",1
#bencarson,2
#benghazi,1
#benghazi!!,4
#benjaminnetanyahu,1
#bernie,1
#berniesanders,1
"#bethlehem,",1
#betsydevos,1
#bettercallsaul,1
#bexit,1
#beyazsaray,2
#beyonce,1
#bft,1
#bft,1
#biafrareferendum,1
#biden,40
#biden-#trump,1
#biden2020,1
#biden:,3
#bidens,1
#biden,1
#bifftannen,1
#bigotry,1
#bigsean,1
#bill,3
#billclinton,7
#billions,1
#binyaminnetanyahu,1
#blacchyna,1
#blacklivesmatter,2
#blacktwitter,1
#blm,2
#blockchain,1
#blockrinos,1
#blotus,1
#bluelivesmatter,2
#bluelivesmatter,1
#bluetsunami2018,4
#bluewave.,8
#bluewave2018,10
#bluewavecoming2018,1
#bocaraton,1
#boe,1
"#boeing,",1
#boj,1
#bollocks?,1
#bolton,1
#bombcontrolnow,1
#bomber,19
#bombing,1
#book,2
#boom,3
#border,5
#border,2
#bordercont,16
#bordercontrol,3
#bordersecurity,21
#bordersecurity,4
#borderwall,4
#borderwall:,3
#bornagain.,2
#boy,1
#boycotdavidhogg,2
#boycottis,1
#boycottisrael,2
#boycottmsnbc,12
#boycottsinclair,10
#bozo,1
#break,1
#breakga,1
#breakgazaseige,11
#breakgazaseige,1
#breaking,35
#breaking:,20
#breaking:#johndowd,1
#breaking:#mueller,1
#breaking:summons,13
#breaking:think,3
#breaking:when,4
#breakingne,1
#breakingnews,2
#breakingnews:,1
#breitbart,1
#brennan,4
#brentcrudeoil,1
#brexit,7
"#brexit,#eurocrisis.",2
#bringit,2
#broad,1
#broadcom.,1
"#broidy,",5
#broke,1
#broward,1
#bs,1
#btftw,1
#btw,3
#budget,1
#buenas,1
#buenmiercles,1
#build,14
#buildawall,2
#buildthatwall,1
#buildthewall,53
#buildthewall,1
#buildthewallnow,6
#bully,1
#bullying,2
#bush,1
#bust,3
#bust!,1
#busybe_,2
#butheremails,1
#buttercup!,1
#buttons,3
#buybeats,2
#byanymeansnecessary,1
#byefelicia,1
#c,2
#cabin,1
#cabinetreshuffle,1
#cadetbonespurs,2
#caf<u+00e9>den,2
#cairo,2
#cake!,1
#california,42
#california,1
#cambridge,1
#cambridgeanalytica,16
#cambridgeanalytica),2
"#cambridgeanalytica,",2
#cambridgeanalytica.,1
#cambridgeanalytica,1
#cambridgeanalyticauncovered,1
#cambridgeanalytics,2
#campaignfinance,1
#canad,4
#canada,1
#canada-inspired,2
#canadian,1
#cancer,1
#candy,1
#capitalpunishment,1
#capoverso,1
#caravan,1
#caravan,1
#caravanademigrantes,9
#caravanademigrantes,1
#caravanofillegals,6
#caravanscoming,2
#care2,1
#carrara,1
#carrara,2
#carstenmaschmeyer,1
#cartoon,2
#cartoon:,2
#casablanca,4
#catatonia,2
#catholic,1
#cathouse,2
#cbs,4
#cc,6
#ccctrain,1
#ccot,7
#cdmx,4
#cdnpoli,2
#ce,6
#celebrity,1
#census,12
#centralpark,1
#centroamrica,2
#century,1
#ceo,1
#cfp,3
#chmage,1
#chabahar,1
#championsleague,1
#channingtatum,1
#charity,1
#cheeky,2
#chicagomed,1
#chicagomed,1
#chickenshi,1
#childpresident,1
#children,2
#childtraffick,3
#china,62
"#china"",",1
"#china"".",1
"#china,",9
#china.,1
#china.if,1
#china,1
#chinatariffs,1
"#chine,",1
#chine-#etatsunis,1
#chinese_products,1
#chrisbrown,2
#christianity,5
#churches,1
#cia,3
"#cic,",1
#cina,1
"#cina,",2
#civil,1
#cla,1
#claims,1
#classroomvisit,7
#cleanwateract,1
#climate,7
#clinteastwood,1
#clinton,2
#clinton,1
#closernation,6
#closure,1
#cnbc,1
#cnn,22
#cnninternational,1
#cnnsotu,1
#cnp,1
#code187,1
#codeofvets,16
#college,2
#collusion,6
#colusion,2
#comeatmebro,2
#comedian,1
#comedians,1
#comeuppance!,1
#comey,4
#commonwealthgames2018,1
#communications,1
#concurrent,2
#condoms.,1
#confiscate,1
#congress,17
#congressdoyourjob,22
#congressman,1
#cons,3
#conscience,2
#conservative,4
#conservative,1
#conservatives,1
#conspiracy,6
#constitu,987
#constitution,10
#constitutionalcrisis,3
#consumepopculture,1
#conway,1
#core,1
#corporatewelfarebenefits,1
#corrupt,1
#corruption,6
#corruption.,1
#couldntgetalong,2
#court,1
#coverup,5
#cpac,1
#cpn,1
#cracksinthefoundation,1
#crazy,1
#creati,1
#creative,1
#creepyunclejoe,1
#cremlino,1
#crime,2
#crimestory,1
#crimin,1
#criminal,1
#criminalsdontcare,2
#crooked,1
#crookedhillary,1
#crookedtrump,5
#crowdfunding,1
#crownpri,1
#crownprinceinusa,1
#crownprincesalman,1
#cruzcrew,1
#crypto,8
#cuba,6
#culo,7
#culturesways,1
#cumbredelasamericas,2
#cy,1
#cyber,1
#d,7
#daca,7
#dacadeal,1
#dacadreamers,1
#dacarecipients,1
#dailynews,2
#dailyreminder,1
#dairyq,1
#dancoats,1
#dangerous,1
#danielpearl's,25
#daniels,2
#danlipinski,4
"#dapchigirls,",2
#daviddennison.,1
#davidhogg,1
#dax,1
#daysicilia,1
#dazi,4
"#dazi,",3
#deathpenalty,1
#debateenantioquia,1
#decoy,1
#deepstate,998
#defendthesecond,8
#defundplannedpare,1
#defundsanctuarycities,1
#dehet,1
#dejavu#fakenewsmedia,1
#dem,2
#demark,1
#democracy<u+201d>,1
#democrat,2
"#democrat,#democrats,#republican,#republicans,#usa,#us,#unitedstates,#unitedstatesofamerica,#america,#trump,",1
#democrat,1
#democratliesmatter,1
#democratprogressives,1
#democrats,1001
#democratshateamerica,2
#dems,3
#deplorable,8
#deplorable,1
#deplorables,17
#deplorablesfortrump,2
#deport,1
#deportthemall,2
#derangedhoodlum!,1
#describe,1
#design,5
#deutschebank,2
#devil,5
#devil,1
#devos,1
#diarionco,1
#dictator,2
#dictatorship,1
#digital,4
#digitalart,14
#disqusting,473
#distraction,1
#diy,1
#djakademiks,1
"#djgribbin,",2
#djstartingfromscratch,1
#dluhopisy.,1
#dnc,1
#do,2
#dodgers,1
#dog,1
#dogs,3
#doha,1
#doing,1
#doj,3
#dolar,1
#dona,2
#donal,2
#donald,4
#donaldjtrump,1
#donaldjtrumpjr,2
#donaldt,5
#donaldtru,2
#donaldtrum,1
#donaldtrump,1102
#donaldtrump!,14
#donaldtrump's,22
#donaldtrump):,2
"#donaldtrump,",91
"#donaldtrump,",1
#donaldtrump-trolling,5
#donaldtrump.,23
#donaldtrump..,1
#donaldtrump...#learnsomething.,2
#donaldtrump....don't,1
#donaldtrump...,4
#donaldtrump.,1
#donaldtrump/,1
#donaldtrump:,7
#donaldtrump#dutarte,1
#donaldtrump,5
#donaldtrumps,8
#donaldtrump,26
#donaldtrump,9
#donaldtrump?,12
#donaldtrump?),1
#donaldtrumpjr,1
#donaldtrumpjr,1
#donate,1
#donjuan,1
#donlemon,1
#donotco,1
#donotcongratulate,2
#donthecon,7
#dontmakekillersfamous,1
#dontpayattentionbidenisstupidandlaughable,1
#dontrumpjr.,1
#donttreadonme,12
#dotard.,1
#dotarddonn,1
#dotarddonnie,1
#dotardhenge,1
#dotardtru,3
#dowd,25
"#dowd,",6
#dowdresigns,1
#dowjones,4
#draftdoger,1
#drai,426
#drainthe,8
#drainthedeep,4
#draintheswamp,66
#drake,2
#dreamers,2
#drh,2
#drilling,1
#drugdealers,1
#dts,6
#dubai,1
#dummy,2
#dumptrump,4
#dumptrump,1
#dup,1
#dupree,1
"#earth,",1
#easter,1
#economy,1
#economy-th,1
#economy-the,1
#economy.,1
#education,4
#eeuu,16
"#eeuu,",11
#eeuu-#mexico,1
#eeuu-#mexico,1
#eggdrp,2
#egypt,4
#eib,1
#ejrcito,1
#ejectedbipartisanproposals,1
#elderabuse,1
#elecciones2018,6
#eleccionescr,2
#election2020,1
#electionnight,3
#elections,1
"#elections,",1
#elections2018,2
#elephants,4
#elezioni,1
#elezioniusa,4
#elisabethhasselbeck,1
#ellendegeneres,1
#elonmusk,1
#elpais,1
#embarrassment,1
#embedded,1
#ember,1
#eminem,1
#emirati,1
#emolumen,3
#emoluments,29
#emolumentsclause,15
#emphasize,3
#empireisfalling,1
#endchainmigration,2
#enddaca,4
#enddaca,6
#endirecto,2
#endsanctuarycities,10
#endthefed,1
#endtheses,1
#endvisalottery,2
